IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.65.216,4,4,0,161.47,31.01,SJC
104.16.89.238,4,4,0,159.13,30.43,SJC
190.93.246.82,4,4,0,155.58,30.15,SJC
104.16.179.159,4,4,0,160.08,30.11,SJC
104.17.72.240,4,4,0,161.69,29.6,SJC
104.16.98.112,4,4,0,160.51,29.55,SJC
104.16.4.99,4,4,0,159.38,29.17,SJC
104.16.80.63,4,4,0,155.58,26.6,SJC
104.17.46.204,4,4,0,153.8,26.44,SJC
104.16.133.134,4,4,0,159.79,25.96,SJC
104.16.105.118,4,4,0,160.4,23.63,SJC
104.18.87.223,4,4,0,159.18,23.32,SJC
104.16.108.72,4,4,0,159.65,21.76,SJC
104.16.113.21,4,4,0,155.65,7.07,SJC
104.17.87.144,4,4,0,157.61,5.91,SJC
104.16.94.96,4,4,0,158.3,3.59,SJC
188.114.97.121,4,4,0,158.9,1.79,SJC
104.16.61.2,4,4,0,158.65,1.39,SJC
188.114.96.178,4,4,0,159.03,1.1,SJC